Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,No priority to vehicle,2
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Under 18,Employee,Below 1yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,No distancing,1
Over 51,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Overturning,1
Over 51,Owner,5-10yr,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving at high speed,1
Under 18,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Waiting to go,No distancing,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Overturning,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Unknown,Going straight,Moving Backward,1
Under 18,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Unknown,Moving Backward,No distancing,1
31-50,Owner,Above 10yr,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Overturning,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
Under 18,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Driving carelessly,1
Under 18,Employee,Above 10yr,Other,Asphalt roads,Daylight,Normal,Unknown,Going straight,No distancing,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,No priority to pedestrian,1
18-30,Employee,No Licence,Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,Moving Backward,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,Changing lane to the right,1
31-50,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Owner,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Changing lane to the right,1
18-30,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,2
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,Fatal injury
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,Fatal injury
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,1
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Parked,Moving Backward,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Employee,Above 10yr,Y Shape,Asphalt roads with some distress,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Driving carelessly,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Overtaking,1
31-50,Owner,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No priority to vehicle,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Owner,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Overtaking,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
